,Exmachina,"Yo, Robot",AI,2001,Matrix,Blade Runner,Y
E01,3.00,4.00,3.00,4.00,4.00,2.00,
E02,3.00,5.00,3.00,4.00,5.00,4.00,
E03,3.00,4.50,5.00,3.00,4.00,3.00,
E04,3.50,4.00,3.50,4.50,5.00,5.00,
E05,4.50,3.50,4.00,4.00,4.50,4.00,
E06,3.00,4.50,4.00,3.00,2.50,3.00,
E07,4.00,4.50,3.50,5.00,4.00,4.00,
E08,5.00,4.50,4.00,4.00,4.50,4.50,
E09,3.50,3.00,4.00,5.00,3.50,4.50,
E11,3.00,5.00,1.00,4.50,3.50,1.50,
E12,3.00,5.00,3.00,4.00,5.00,3.50,
E13,2.50,4.50,3.00,3.00,3.50,4.50,
E14,3.50,5.00,2.50,3.00,4.50,5.00,
E15,4.50,3.00,3.00,3.50,5.00,3.00,
E16,2.50,3.00,5.00,3.00,2.50,3.00,
E18,4.00,5.00,3.00,4.00,5.00,4.50,
E20,3.00,4.00,3.00,5.00,4.00,3.00,
E21,3.50,4.50,3.00,3.50,5.00,4.50,
E25,4.00,5.00,2.00,3.50,5.00,4.50,
E27,4.00,3.50,2.50,4.00,5.00,4.50,
E28,3.00,4.00,3.00,4.00,3.00,5.00,
E29,3.50,4.00,5.00,3.00,4.00,4.50,
E30,3.00,4.00,3.50,4.00,5.00,3.00,
E31,3.50,3.00,4.00,4.50,4.50,4.00,
E32,3.50,5.00,5.00,2.00,5.00,4.00,
E39,3.00,5.00,3.50,4.00,5.00,4.00,
E40,3.50,3.00,4.00,5.00,3.50,4.50,
E41,3.00,5.00,2.50,4.50,3.00,2.00,
E50,4.50,4.00,3.50,5.00,3.50,4.00,
E51,3.00,3.50,3.00,4.00,4.50,3.50,
E52,3.00,5.00,3.50,3.50,4.00,3.00,
E53,4.00,3.50,4.00,4.00,4.50,4.50,
E54,3.00,2.50,4.00,5.00,4.00,5.00,
E55,4.50,3.00,3.00,2.50,3.00,4.00,
E56,4.50,4.00,5.00,4.50,4.00,5.00,
E57,4.50,5.00,2.00,2.00,5.00,3.00,
E58,4.50,4.00,3.00,4.00,3.00,5.00,
E62,3.50,4.50,3.00,4.00,4.00,4.50,
E63,4.00,4.00,2.00,5.00,5.00,2.50,
E65,4.00,4.50,3.00,1.00,3.50,3.00,
E66,4.00,3.00,5.00,5.00,5.00,5.00,
E68,4.50,4.50,4.00,3.50,4.50,4.00,
